Price,Area,Location,city
4100000,620,Kharghar,Mumbai
5000000,550,Kharghar,Mumbai
5500000,745,Kharghar,Mumbai
4500000,580,Kharghar,Mumbai
5000000,570,Kharghar,Mumbai
5300000,670,Kharghar,Mumbai
19000000,1845,Kharghar,Mumbai
15500000,1700,Kharghar,Mumbai
13500000,1400,Kharghar,Mumbai
13600000,1680,Kharghar,Mumbai
15500000,1645,Kharghar,Mumbai
16500000,1585,Kharghar,Mumbai
8600000,1350,Kharghar,Mumbai
10000000,1075,Kharghar,Mumbai
10500000,1155,Kharghar,Mumbai
4700000,625,Kharghar,Mumbai
6200000,720,Kharghar,Mumbai
4500000,550,Kharghar,Mumbai
6900000,735,Kharghar,Mumbai
4500000,580,Kharghar,Mumbai
10000000,1505,Kharghar,Mumbai
13000000,1630,Kharghar,Mumbai
11000000,1550,Kharghar,Mumbai
13000000,1455,Sector 18 Kharghar,Mumbai
16000000,1750,Kharghar,Mumbai
10500000,1098,Kharghar,Mumbai
13000000,1210,Sector 15 Kharghar,Mumbai
9500000,1000,Kharghar,Mumbai
4500000,550,Kharghar,Mumbai
11000000,1550,Kharghar,Mumbai
11000000,1550,Kharghar,Mumbai
13000000,1630,Kharghar,Mumbai
13600000,1680,Kharghar,Mumbai
16200000,1650,Kharghar,Mumbai
15000000,1440,Kharghar,Mumbai
13200000,1370,Kharghar,Mumbai
7500000,1022,Sector 18 Kharghar,Mumbai
9500000,1000,Kharghar,Mumbai
15000000,1760,Kharghar,Mumbai
7500000,1100,Kharghar,Mumbai
13000000,1550,Sector 20 Kharghar,Mumbai
16200000,1675,Kharghar,Mumbai
11000000,1060,Kharghar,Mumbai
11600000,1150,Kharghar,Mumbai
5600000,670,Kharghar,Mumbai
8000000,900,Kharghar,Mumbai
9500000,1088,Kharghar,Mumbai
2018000,375,Dombivali,Mumbai
65000000,1200,Churchgate,Mumbai
45000000,1717,Prabhadevi,Mumbai
16500000,750,Jogeshwari West,Mumbai
2375000,525,Kalyan East,Mumbai
19500000,1200,Malad East,Mumbai
2000000,420,Virar East,Mumbai
2500000,540,Virar East,Mumbai
2250000,415,Virar East,Mumbai
2700000,650,Virar,Mumbai
22000000,1100,Malad West,Mumbai
17000000,1105,Borivali East,Mumbai
43500000,2600,Malad East,Mumbai
4760000,700,Mira Road East,Mumbai
18100000,1296,Goregaon West,Mumbai
23800000,1638,Goregaon West,Mumbai
21200000,1465,Goregaon West,Mumbai
8600000,700,Borivali East,Mumbai
36500000,2030,Goregaon West,Mumbai
23700000,1450,Malad West,Mumbai
21400000,1100,Malad West,Mumbai
12500000,800,Kandivali West,Mumbai
18000000,1500,Kandivali West,Mumbai
13200000,1100,Kandivali West,Mumbai
35300000,1962,Kandivali West,Mumbai
15300000,950,Borivali East,Mumbai
25000000,1440,Kandivali West,Mumbai
13899999,1200,Kandivali West,Mumbai
33500000,1785,Borivali West,Mumbai
14500000,775,Goregaon West,Mumbai
9000000,765,Kandivali West,Mumbai
13500000,910,Goregaon West,Mumbai
9000000,640,Goregaon West,Mumbai
21600000,1264,Malad East,Mumbai
13700000,1056,Kandivali West,Mumbai
27799999,1810,Kandivali East,Mumbai
27900000,1656,Goregaon West,Mumbai
81600000,3888,Goregaon West,Mumbai
38600000,2030,Borivali West,Mumbai
17000000,1114,Andheri East,Mumbai
60100000,3585,Goregaon West,Mumbai
27900000,1404,Goregaon East,Mumbai
31500000,1620,Goregaon East,Mumbai
37500000,2780,Malad East,Mumbai
31000000,1672,Malad East,Mumbai
21100000,1200,Malad East,Mumbai
16500000,1200,Malad East,Mumbai
16000000,1250,Borivali East,Mumbai
26000000,1840,Borivali East,Mumbai
15200000,1170,Malad West,Mumbai
2300000,310,Kharghar,Mumbai
33000000,1245,Wadala,Mumbai
29000000,1153,Wadala,Mumbai
11200000,573,Ulwe,Mumbai
9000000,1100,Ulwe,Mumbai
8500000,1135,Ulwe,Mumbai
9000000,1060,Kharghar,Mumbai
11500000,560,Malad West,Mumbai
12100000,1150,Dahisar,Mumbai
11000000,1054,kandivali,Mumbai
27000000,1695,Goregaon,Mumbai
21600000,1579,Goregaon,Mumbai
30200000,2153,Goregaon,Mumbai
41200000,1872,Goregaon,Mumbai
30500000,1717,Goregaon,Mumbai
36700000,1675,Goregaon East,Mumbai
23800000,1672,Malad East,Mumbai
20500000,1457,Malad East,Mumbai
5500000,425,Bhandup West,Mumbai
9000000,560,thakur village kandivali east,Mumbai
32500000,1200,Santacruz West,Mumbai
8500000,575,Kanjurmarg,Mumbai
8500000,575,Kanjurmarg,Mumbai
9000000,400,Borivali East,Mumbai
2500000,300,Kandivali East,Mumbai
5500000,400,I C Colony,Mumbai
8000000,650,Dahisar W,Mumbai
27500000,1600,Malad East,Mumbai
11500000,860,Marol,Mumbai
35900000,1320,Parel,Mumbai
42000000,1200,Lower Parel,Mumbai
33100000,1320,Parel,Mumbai
106000000,2826,Worli,Mumbai
101400000,2880,Lower Parel,Mumbai
32500000,997,Jogeshwari East,Mumbai
18500000,1038,Jogeshwari East,Mumbai
11000000,600,Malad West,Mumbai
9200000,400,Chembur Shell Colony,Mumbai
50100000,2800,Central Avenue,Mumbai
33000000,1400,Chembur East,Mumbai
34100000,1500,Diamond Market Road,Mumbai
21800000,1412,Mulund,Mumbai
21800000,1412,Mulund,Mumbai
21200000,1412,Mulund,Mumbai
3000000,545,Nalasopara West,Mumbai
11000000,585,raheja vihar,Mumbai
17900000,1000,raheja vihar,Mumbai
19500000,1050,Powai Lake,Mumbai
19500000,1014,MHADA Colony 20,Mumbai
16000000,900,Goregaon East,Mumbai
11500000,600,Tolaram Colony,Mumbai
10500000,700,Tolaram Colony,Mumbai
6400000,1550,Taloja,Mumbai
90000000,5245,Thane West,Mumbai
2100000,529,Vangani,Mumbai
3600000,530,Sector 20 Kharghar,Mumbai
9200000,1260,Sector 5 Ulwe,Mumbai
9000000,1260,Sector12 New Panvel,Mumbai
9200000,1150,Sector 17 Ulwe,Mumbai
5300000,690,Sector 17 Ulwe,Mumbai
15500000,1240,Sector9 Kamothe,Mumbai
9500000,1260,Sector 19 Kharghar,Mumbai
9000000,1240,Sector 5 Ulwe,Mumbai
10100000,1265,Navi Basti,Mumbai
10800000,1260,Sector12 Kamothe,Mumbai
11000000,1255,Sector 21 Kamothe,Mumbai
7200000,1055,Sector 19 Kharghar,Mumbai
7000000,1060,Sector 5 Ulwe,Mumbai
12700000,1238,Navi Basti,Mumbai
8500000,1150,Sector12 Kamothe,Mumbai
8500000,1165,Sector12 Kamothe,Mumbai
7700000,1080,Sector9 Kamothe,Mumbai
11000000,1470,Sector12 Kamothe,Mumbai
6000000,610,Sector9 Kamothe,Mumbai
9200000,1180,Sector12 Kamothe,Mumbai
15000000,1735,Sector9 Kamothe,Mumbai
11000000,1230,Sector 17 Ulwe,Mumbai
4500000,599,Sector 17 Ulwe,Mumbai
8800000,980,Sector9 Kamothe,Mumbai
16500000,1654,Sector9 Kamothe,Mumbai
16800000,1665,Sector 17 Ulwe,Mumbai
16299999,1640,Sector 17 Ulwe,Mumbai
15500000,1650,Sector 17 Ulwe,Mumbai
4900000,980,Taloja,Mumbai
3400000,730,Rutu Enclave,Mumbai
4800000,1020,taloja panchanand,Mumbai
6200000,1075,Virar West,Mumbai
33700000,1600,Chembur,Mumbai
50100000,2800,Central Avenue,Mumbai
10700000,715,Chembur,Mumbai
15000000,1016,Chembur,Mumbai
18500000,1000,Chembur,Mumbai
17600000,1100,Chembur,Mumbai
7000000,1060,Sector 5 Ulwe,Mumbai
12700000,1238,Navi Basti,Mumbai
8500000,1150,Sector12 Kamothe,Mumbai
8500000,1165,Sector12 Kamothe,Mumbai
7700000,1080,Sector9 Kamothe,Mumbai
11000000,1470,Sector12 Kamothe,Mumbai
6000000,610,Sector9 Kamothe,Mumbai
9200000,1180,Sector12 Kamothe,Mumbai
15000000,1735,Sector9 Kamothe,Mumbai
11000000,1230,Sector 17 Ulwe,Mumbai
4500000,599,Sector 17 Ulwe,Mumbai
8800000,980,Sector9 Kamothe,Mumbai
16500000,1654,Sector9 Kamothe,Mumbai
16800000,1665,Sector 17 Ulwe,Mumbai
16299999,1640,Sector 17 Ulwe,Mumbai
15500000,1650,Sector 17 Ulwe,Mumbai
5000000,578,Sector 20 Kamothe,Mumbai
5000000,650,Sector 22 Kamothe,Mumbai
4000000,600,Sector 21 Kamothe,Mumbai
5000000,600,Sector 22 Kamothe,Mumbai
6250000,625,Sector 18 Kamothe,Mumbai
4800000,600,Sector 22 Kamothe,Mumbai
3800000,560,Sector-5 Kamothe,Mumbai
3600000,580,Sector-6A Kamothe,Mumbai
4400000,530,Sector 11 Kamothe,Mumbai
5000000,650,Sector-18 Ulwe,Mumbai
9000000,1450,Sector 21 Kamothe,Mumbai
2600000,380,Sector-12 Kamothe,Mumbai
2600000,400,Navi Basti,Mumbai
21000000,620,azad nagar,Mumbai
4900000,980,Taloja,Mumbai
3400000,730,Rutu Enclave,Mumbai
4800000,1020,taloja panchanand,Mumbai
6200000,1075,Virar West,Mumbai
18500000,1038,Jogeshwari East,Mumbai
19600000,1250,Chembur,Mumbai
18600000,1067,Sindhi Society Chembur,Mumbai
21500000,1200,Chembur,Mumbai
11000000,780,Kurla,Mumbai
13799999,1020,Sahkar Nagar,Mumbai
14000000,671,Deonar,Mumbai
22000000,1650,Kharghar,Mumbai
14500000,1360,Kharghar,Mumbai
25000000,1600,Kandivali East,Mumbai
11500000,1250,Kharghar,Mumbai
4000000,750,Taloja,Mumbai
2500000,450,Taloja,Mumbai
2300000,410,Taloja,Mumbai
45000000,1168,Lower Parel,Mumbai
5700000,516,Thane,Mumbai
9600000,900,Jankalyan Nagar,Mumbai
2010000,600,Badlapur,Mumbai
2005000,575,Badlapur,Mumbai
2548000,675,Ambarnath,Mumbai
2492000,660,Ambarnath,Mumbai
2418000,640,Ambarnath,Mumbai
2400000,690,Ambernath West,Mumbai
21700000,900,Vakola,Mumbai
